datetime,type,price,amount
2021-01-01 00:00:00,deposit,1.0000,+28944.4
2021-02-04 00:00:00,bonus,1.1418,+3200
2021-07-01 00:00:00,withdraw,1.1077,-32144.4
2021-07-01 00:00:00,deposit,1.0000,+35606
2021-07-01 00:00:00,deposit,1.0000,+35606
