datetime,type,price,amount
2021-01-01 00:00:00,deposit,1.0000,+4705.2
2021-01-04 00:00:00,deposit,1.1418,+2627.43
2021-03-26 00:00:00,dividend,1.5763,-977
2021-03-26 00:00:00,withdraw,1.5763,-6354
2021-07-01 00:00:00,withdraw,1.1077,-1.629
2021-01-01 00:00:00,deposit,1.0000,+4705.2
2021-01-04 00:00:00,deposit,1.1418,+2627.43
2021-03-26 00:00:00,dividend,1.5763,-977
2021-03-26 00:00:00,withdraw,1.5763,-6354
2021-07-01 00:00:00,withdraw,1.1077,-1.629
2021-01-01 00:00:00,deposit,1.0000,+4705.2
2021-01-04 00:00:00,deposit,1.1418,+2627.43
2021-03-26 00:00:00,dividend,1.5763,-977
2021-03-26 00:00:00,withdraw,1.5763,-6354
2021-07-01 00:00:00,withdraw,1.1077,-1.629
2021-01-01 00:00:00,deposit,1.0000,+4705.2
2021-01-04 00:00:00,deposit,1.1418,+2627.43
2021-03-26 00:00:00,dividend,1.5763,-977
2021-03-26 00:00:00,withdraw,1.5763,-6354
2021-07-01 00:00:00,withdraw,1.1077,-1.629
2021-01-01 00:00:00,deposit,1.0000,+4705.2
2021-01-04 00:00:00,deposit,1.1418,+2627.43
2021-03-26 00:00:00,dividend,1.5763,-977
2021-03-26 00:00:00,withdraw,1.5763,-6354
2021-07-01 00:00:00,withdraw,1.1077,-1.629
