datetime,type,price,amount
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
2021-03-11 00:00:00,deposit,1.6873,+29633
2021-07-01 00:00:00,withdraw,1.1077,-29633
2021-07-01 00:00:00,deposit,1.0000,+32824
2022-04-30 00:00:00,withdraw,0.8892,-32727
