datetime,type,price,amount
2021-01-01 00:00:00,deposit,1.0000,+29774.4
2021-02-04 00:00:00,withdraw,1.1418,-3200
2021-02-19 00:00:00,deposit,1.7821,+35649
2021-02-24 00:00:00,withdraw,1.6434,-6084.9
2021-03-26 00:00:00,deposit,1.5763,+977
2021-03-26 00:00:00,deposit,1.5763,+6354
2021-03-26 00:00:00,withdraw,1.5763,-1905
2021-07-01 00:00:00,withdraw,1.1077,-61564.5
2021-07-01 00:00:00,deposit,1.0000,+68194
2021-07-01 00:00:00,deposit,1.0000,+68194
2021-07-01 00:00:00,deposit,1.0000,+68194
2021-07-01 00:00:00,deposit,1.0000,+68194
