datetime,type,price,amount
2021-07-19 00:00:00,deposit,0.9974,+10009
2021-08-20 00:00:00,deposit,1.2451,+8005
2021-11-17 00:00:00,deposit,1.2650,+7905
2021-07-19 00:00:00,deposit,0.9974,+10009
2021-08-20 00:00:00,deposit,1.2451,+8005
2021-11-17 00:00:00,deposit,1.2650,+7905
2021-07-19 00:00:00,deposit,0.9974,+10009
2021-08-20 00:00:00,deposit,1.2451,+8005
2021-11-17 00:00:00,deposit,1.2650,+7905
2021-07-19 00:00:00,deposit,0.9974,+10009
2021-08-20 00:00:00,deposit,1.2451,+8005
2021-11-17 00:00:00,deposit,1.2650,+7905
2021-07-19 00:00:00,deposit,0.9974,+10009
2021-08-20 00:00:00,deposit,1.2451,+8005
2021-11-17 00:00:00,deposit,1.2650,+7905
