datetime,type,price,amount
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
2021-02-22 00:00:00,deposit,1.9889,+5027.9
2021-07-01 00:00:00,withdraw,1.1077,-5027.9
2021-07-01 00:00:00,deposit,1.0000,+5569
2022-08-31 00:00:00,withdraw,0.7600,-5569
