datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-07-01 00:00:00,0.0000,0.0000,0.0000,16697.0000,0.0000
2021-07-02 00:00:00,0.0000,0.0000,0.0000,16697.0000,0.0000
2021-07-03 00:00:00,0.0000,0.0000,0.0000,16697.0000,0.0000
2021-07-04 00:00:00,10.0182,0.0000,10.0182,16707.0182,10.0182
2021-07-05 00:00:00,16.6970,0.0000,16.6970,16713.6970,6.6788
2021-07-06 00:00:00,0.0000,0.0000,0.0000,16697.0000,-16.6970
2021-07-07 00:00:00,6.6788,0.0000,6.6788,16703.6788,6.6788
2021-07-08 00:00:00,1.6697,0.0000,1.6697,16698.6697,-5.0091
2021-07-09 00:00:00,-13.3576,0.0000,-13.3576,16683.6424,-15.0273
2021-07-10 00:00:00,0.0000,0.0000,0.0000,16697.0000,13.3576
2021-07-11 00:00:00,-5.0091,0.0000,-5.0091,16691.9909,-5.0091
2021-07-12 00:00:00,5.0091,0.0000,5.0091,16702.0091,10.0182
2021-07-13 00:00:00,-13.3576,0.0000,-13.3576,16683.6424,-18.3667
2021-07-14 00:00:00,-20.0364,0.0000,-20.0364,16676.9636,-6.6788
2021-07-15 00:00:00,-18.3667,0.0000,-18.3667,16678.6333,1.6697
2021-07-16 00:00:00,-33.3940,0.0000,-33.3940,16663.6060,-15.0273
2021-07-17 00:00:00,-43.4122,0.0000,-43.4122,16653.5878,-10.0182
2021-07-18 00:00:00,-41.7425,0.0000,-41.7425,16655.2575,1.6697
2021-07-19 00:00:00,-43.4122,0.0000,-43.4122,16653.5878,-1.6697
2021-07-20 00:00:00,-38.4031,0.0000,-38.4031,16658.5969,5.0091
2021-07-21 00:00:00,-33.3940,0.0000,-33.3940,16663.6060,5.0091
2021-07-22 00:00:00,-50.0910,0.0000,-50.0910,16646.9090,-16.6970
2021-07-23 00:00:00,-53.4304,0.0000,-53.4304,16643.5696,-3.3394
2021-07-24 00:00:00,-38.4031,0.0000,-38.4031,16658.5969,15.0273
2021-07-25 00:00:00,-30.0546,0.0000,-30.0546,16666.9454,8.3485
2021-07-26 00:00:00,30.0546,0.0000,30.0546,16727.0546,60.1092
2021-07-27 00:00:00,355.6461,0.0000,355.6461,17052.6461,325.5915
2021-07-28 00:00:00,769.7317,0.0000,769.7317,17466.7317,414.0856
2021-07-29 00:00:00,884.9410,0.0000,884.9410,17581.9410,115.2093
2021-07-30 00:00:00,920.0047,0.0000,920.0047,17617.0047,35.0637
2021-07-31 00:00:00,1457.6481,0.0000,1457.6481,18154.6481,537.6434
2021-08-01 00:00:00,1302.3660,0.0000,1302.3660,17999.3660,-155.2821
2021-08-02 00:00:00,923.3441,0.0000,923.3441,17620.3441,-379.0219
2021-08-03 00:00:00,771.4014,0.0000,771.4014,17468.4014,-151.9427
2021-08-04 00:00:00,535.9737,0.0000,535.9737,17232.9737,-235.4277
2021-08-05 00:00:00,1026.8655,0.0000,1026.8655,17723.8655,490.8918
2021-08-06 00:00:00,1280.6599,0.0000,1280.6599,17977.6599,253.7944
2021-08-07 00:00:00,1743.1668,0.0000,1743.1668,18440.1668,462.5069
2021-08-08 00:00:00,3240.8877,0.0000,3240.8877,19937.8877,1497.7209
2021-08-09 00:00:00,2900.2689,0.0000,2900.2689,19597.2689,-340.6188
2021-08-10 00:00:00,3364.4455,0.0000,3364.4455,20061.4455,464.1766
2021-08-11 00:00:00,2980.4145,0.0000,2980.4145,19677.4145,-384.0310
2021-08-12 00:00:00,2947.0205,0.0000,2947.0205,19644.0205,-33.3940
2021-08-13 00:00:00,2217.3616,0.0000,2217.3616,18914.3616,-729.6589
2021-08-14 00:00:00,4408.0080,0.0000,4408.0080,21105.0080,2190.6464
2021-08-15 00:00:00,4226.0107,0.0000,4226.0107,20923.0107,-181.9973
2021-08-16 00:00:00,4226.0107,0.0000,4226.0107,20923.0107,0.0000
2021-08-17 00:00:00,4037.3346,0.0000,4037.3346,20734.3346,-188.6761
2021-08-18 00:00:00,3748.4765,0.0000,3748.4765,20445.4765,-288.8581
2021-08-19 00:00:00,3758.4947,0.0000,3758.4947,20455.4947,10.0182
2021-08-20 00:00:00,4092.4347,0.0000,4092.4347,20789.4347,333.9400
2021-08-21 00:00:00,4195.9561,0.0000,4195.9561,20892.9561,103.5214
2021-08-22 00:00:00,4125.8287,0.0000,4125.8287,20822.8287,-70.1274
2021-08-23 00:00:00,4160.8924,0.0000,4160.8924,20857.8924,35.0637
2021-08-24 00:00:00,4247.7168,0.0000,4247.7168,20944.7168,86.8244
2021-08-25 00:00:00,3447.9305,0.0000,3447.9305,20144.9305,-799.7863
2021-08-26 00:00:00,3499.6912,0.0000,3499.6912,20196.6912,51.7607
2021-08-27 00:00:00,3404.5183,0.0000,3404.5183,20101.5183,-95.1729
2021-08-28 00:00:00,3462.9578,0.0000,3462.9578,20159.9578,58.4395
2021-08-29 00:00:00,3459.6184,0.0000,3459.6184,20156.6184,-3.3394
2021-08-30 00:00:00,3457.9487,0.0000,3457.9487,20154.9487,-1.6697
2021-08-31 00:00:00,3402.8486,0.0000,3402.8486,20099.8486,-55.1001
2021-09-01 00:00:00,3362.7758,0.0000,3362.7758,20059.7758,-40.0728
2021-09-02 00:00:00,3307.6757,0.0000,3307.6757,20004.6757,-55.1001
2021-09-03 00:00:00,3260.9241,0.0000,3260.9241,19957.9241,-46.7516
2021-09-04 00:00:00,3459.6184,0.0000,3459.6184,20156.6184,198.6943
2021-09-05 00:00:00,3386.1516,0.0000,3386.1516,20083.1516,-73.4668
2021-09-06 00:00:00,3539.7640,0.0000,3539.7640,20236.7640,153.6124
2021-09-07 00:00:00,3649.9642,0.0000,3649.9642,20346.9642,110.2002
2021-09-08 00:00:00,1853.3670,0.0000,1853.3670,18550.3670,-1796.5972
2021-09-09 00:00:00,1826.6518,0.0000,1826.6518,18523.6518,-26.7152
2021-09-10 00:00:00,1828.3215,0.0000,1828.3215,18525.3215,1.6697
2021-09-11 00:00:00,1626.2878,0.0000,1626.2878,18323.2878,-202.0337
2021-09-12 00:00:00,1674.7091,0.0000,1674.7091,18371.7091,48.4213
2021-09-13 00:00:00,1793.2578,0.0000,1793.2578,18490.2578,118.5487
2021-09-14 00:00:00,1684.7273,0.0000,1684.7273,18381.7273,-108.5305
2021-09-15 00:00:00,1833.3306,0.0000,1833.3306,18530.3306,148.6033
2021-09-16 00:00:00,1958.5581,0.0000,1958.5581,18655.5581,125.2275
2021-09-17 00:00:00,1923.4944,0.0000,1923.4944,18620.4944,-35.0637
2021-09-18 00:00:00,1821.6427,0.0000,1821.6427,18518.6427,-101.8517
2021-09-19 00:00:00,1933.5126,0.0000,1933.5126,18630.5126,111.8699
2021-09-20 00:00:00,1642.9848,0.0000,1642.9848,18339.9848,-290.5278
2021-09-21 00:00:00,1315.7236,0.0000,1315.7236,18012.7236,-327.2612
2021-09-22 00:00:00,1148.7536,0.0000,1148.7536,17845.7536,-166.9700
2021-09-23 00:00:00,1337.4297,0.0000,1337.4297,18034.4297,188.6761
2021-09-24 00:00:00,1402.5480,0.0000,1402.5480,18099.5480,65.1183
2021-09-25 00:00:00,1297.3569,0.0000,1297.3569,17994.3569,-105.1911
2021-09-26 00:00:00,1292.3478,0.0000,1292.3478,17989.3478,-5.0091
2021-09-27 00:00:00,1314.0539,0.0000,1314.0539,18011.0539,21.7061
2021-09-28 00:00:00,1285.6690,0.0000,1285.6690,17982.6690,-28.3849
2021-09-29 00:00:00,1352.4570,0.0000,1352.4570,18049.4570,66.7880
2021-09-30 00:00:00,1302.3660,0.0000,1302.3660,17999.3660,-50.0910
2021-10-01 00:00:00,1086.9747,0.0000,1086.9747,17783.9747,-215.3913
2021-10-02 00:00:00,611.1102,0.0000,611.1102,17308.1102,-475.8645
2021-10-03 00:00:00,582.7253,0.0000,582.7253,17279.7253,-28.3849
2021-10-04 00:00:00,557.6798,0.0000,557.6798,17254.6798,-25.0455
2021-10-05 00:00:00,584.3950,0.0000,584.3950,17281.3950,26.7152
2021-10-06 00:00:00,470.8554,0.0000,470.8554,17167.8554,-113.5396
2021-10-07 00:00:00,545.9919,0.0000,545.9919,17242.9919,75.1365
2021-10-08 00:00:00,530.9646,0.0000,530.9646,17227.9646,-15.0273
2021-10-09 00:00:00,514.2676,0.0000,514.2676,17211.2676,-16.6970
2021-10-10 00:00:00,545.9919,0.0000,545.9919,17242.9919,31.7243
2021-10-11 00:00:00,429.1129,0.0000,429.1129,17126.1129,-116.8790
2021-10-12 00:00:00,95.1729,0.0000,95.1729,16792.1729,-333.9400
2021-10-13 00:00:00,88.4941,0.0000,88.4941,16785.4941,-6.6788
2021-10-14 00:00:00,611.1102,0.0000,611.1102,17308.1102,522.6161
2021-10-15 00:00:00,691.2558,0.0000,691.2558,17388.2558,80.1456
2021-10-16 00:00:00,768.0620,0.0000,768.0620,17465.0620,76.8062
2021-10-17 00:00:00,702.9437,0.0000,702.9437,17399.9437,-65.1183
2021-10-18 00:00:00,729.6589,0.0000,729.6589,17426.6589,26.7152
2021-10-19 00:00:00,652.8527,0.0000,652.8527,17349.8527,-76.8062
2021-10-20 00:00:00,834.8500,0.0000,834.8500,17531.8500,181.9973
2021-10-21 00:00:00,1596.2332,0.0000,1596.2332,18293.2332,761.3832
2021-10-22 00:00:00,1230.5689,0.0000,1230.5689,17927.5689,-365.6643
2021-10-23 00:00:00,1217.2113,0.0000,1217.2113,17914.2113,-13.3576
2021-10-24 00:00:00,1678.0485,0.0000,1678.0485,18375.0485,460.8372
2021-10-25 00:00:00,1432.6026,0.0000,1432.6026,18129.6026,-245.4459
2021-10-26 00:00:00,1943.5308,0.0000,1943.5308,18640.5308,510.9282
2021-10-27 00:00:00,1489.3724,0.0000,1489.3724,18186.3724,-454.1584
2021-10-28 00:00:00,647.8436,0.0000,647.8436,17344.8436,-841.5288
2021-10-29 00:00:00,1708.1031,0.0000,1708.1031,18405.1031,1060.2595
2021-10-30 00:00:00,2506.2197,0.0000,2506.2197,19203.2197,798.1166
2021-10-31 00:00:00,4591.6750,0.0000,4591.6750,21288.6750,2085.4553
2021-11-01 00:00:00,4256.0653,0.0000,4256.0653,20953.0653,-335.6097
2021-11-02 00:00:00,4252.7259,0.0000,4252.7259,20949.7259,-3.3394
2021-11-03 00:00:00,4969.0272,0.0000,4969.0272,21666.0272,716.3013
2021-11-04 00:00:00,5257.8853,0.0000,5257.8853,21954.8853,288.8581
2021-11-05 00:00:00,5047.5031,0.0000,5047.5031,21744.5031,-210.3822
2021-11-06 00:00:00,5042.4940,0.0000,5042.4940,21739.4940,-5.0091
2021-11-07 00:00:00,5361.4067,0.0000,5361.4067,22058.4067,318.9127
2021-11-08 00:00:00,6002.5715,0.0000,6002.5715,22699.5715,641.1648
2021-11-09 00:00:00,6725.5516,0.0000,6725.5516,23422.5516,722.9801
2021-11-10 00:00:00,6702.1758,0.0000,6702.1758,23399.1758,-23.3758
2021-11-11 00:00:00,5653.6042,0.0000,5653.6042,22350.6042,-1048.5716
2021-11-12 00:00:00,6209.6143,0.0000,6209.6143,22906.6143,556.0101
