datetime,type,price,amount
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
2021-01-01 00:00:00,deposit,1.0000,+17701.8
2021-01-04 00:00:00,withdraw,1.1418,-2627.43
2021-07-01 00:00:00,withdraw,1.1077,-15074.369
2021-07-01 00:00:00,deposit,1.0000,+16697
2022-03-23 00:00:00,deposit,0.9600,+10416
