1609459200,1.0000,0.0000,0.0000
1609545600,1.0076,0.0076,0.0076
1609632000,1.0564,0.0564,0.0484
1609718400,1.0720,0.0720,0.0148
1609804800,1.0528,0.0528,-0.0179
1609891200,1.0922,0.0922,0.0374
1609977600,1.1462,0.1462,0.0494
1610064000,1.1990,0.1990,0.0461
1610150400,1.2097,0.2097,0.0089
1610236800,1.2064,0.2064,-0.0027
1610323200,1.1842,0.1842,-0.0184
1610409600,1.1518,0.1518,-0.0274
1610496000,1.1351,0.1351,-0.0145
1610582400,1.1776,0.1776,0.0374
1610668800,1.2008,0.2008,0.0197
1610755200,1.1675,0.1675,-0.0277
1610841600,1.1567,0.1567,-0.0093
1610928000,1.1554,0.1554,-0.0011
1611014400,1.1625,0.1625,0.0061
1611100800,1.1560,0.1560,-0.0056
1611187200,1.1529,0.1529,-0.0027
1611273600,1.1195,0.1195,-0.0290
1611360000,1.1341,0.1341,0.0130
1611446400,1.1286,0.1286,-0.0048
1611532800,1.1298,0.1298,0.0011
1611619200,1.1294,0.1294,-0.0004
1611705600,1.1307,0.1307,0.0012
1611792000,1.1225,0.1225,-0.0073
1611878400,1.1328,0.1328,0.0092
1611964800,1.1350,0.1350,0.0019
1612051200,1.1352,0.1352,0.0002
1612137600,1.1330,0.1330,-0.0019
1612224000,1.1336,0.1336,0.0005
1612310400,1.1351,0.1351,0.0013
1612396800,1.1359,0.1359,0.0007
1612483200,1.1361,0.1361,0.0002
1612569600,1.1346,0.1346,-0.0013
1612656000,1.1485,0.1485,0.0123
1612742400,1.1422,0.1422,-0.0055
1612828800,1.2581,0.2581,0.1015
1612915200,1.2588,0.2588,0.0006
1613001600,1.2317,0.2317,-0.0215
1613088000,1.2851,0.2851,0.0434
1613174400,1.2740,0.2740,-0.0086
1613260800,1.2695,0.2695,-0.0035
1613347200,1.2951,0.2951,0.0202
1613433600,1.2818,0.2818,-0.0103
1613520000,1.3042,0.3042,0.0175
1613606400,1.3638,0.3638,0.0457
1613692800,1.3589,0.3589,-0.0036
1613779200,1.3969,0.3969,0.0280
1613865600,1.3968,0.3968,-0.0001
1613952000,1.4123,0.4123,0.0111
