datetime,pps,cum_pnl_rate,daily_pnl_rate
2024-02-02 00:00:00,0.5924,0.0000,0.0000
2024-02-04 00:00:00,0.5920,-0.0007,-0.0007
2024-02-05 00:00:00,0.5871,-0.0089,-0.0083
2024-02-06 00:00:00,0.5891,-0.0056,0.0034
2024-02-07 00:00:00,0.5992,0.0115,0.0171
2024-02-08 00:00:00,0.6152,0.0385,0.0267
2024-02-09 00:00:00,0.6231,0.0518,0.0128
2024-02-10 00:00:00,0.6455,0.0896,0.0359
2024-02-11 00:00:00,0.6524,0.1013,0.0107
2024-02-12 00:00:00,0.6579,0.1106,0.0084
2024-02-13 00:00:00,0.6861,0.1582,0.0429
2024-02-14 00:00:00,0.6823,0.1518,-0.0055
2024-02-15 00:00:00,0.7132,0.2039,0.0453
2024-02-16 00:00:00,0.7183,0.2125,0.0072
2024-02-17 00:00:00,0.7187,0.2132,0.0006
2024-02-18 00:00:00,0.7129,0.2034,-0.0081
2024-02-19 00:00:00,0.7259,0.2254,0.0182
2024-02-20 00:00:00,0.7282,0.2292,0.0032
2024-02-21 00:00:00,0.7389,0.2473,0.0147
2024-02-22 00:00:00,0.7308,0.2336,-0.0110
2024-02-23 00:00:00,0.7262,0.2259,-0.0063
2024-02-24 00:00:00,0.7169,0.2102,-0.0128
2024-02-25 00:00:00,0.7307,0.2335,0.0192
2024-02-26 00:00:00,0.7427,0.2537,0.0164
2024-02-27 00:00:00,0.7732,0.3052,0.0411
2024-02-28 00:00:00,0.8021,0.3540,0.0374
2024-02-29 00:00:00,0.8631,0.4570,0.0761
2024-03-01 00:00:00,0.8477,0.4310,-0.0178
2024-03-02 00:00:00,0.8672,0.4639,0.0230
2024-03-03 00:00:00,0.8626,0.4561,-0.0053
2024-03-04 00:00:00,0.8783,0.4826,0.0182
2024-03-05 00:00:00,0.9371,0.5819,0.0669
2024-03-06 00:00:00,0.8900,0.5024,-0.0503
2024-03-07 00:00:00,0.9348,0.5780,0.0503
2024-03-08 00:00:00,0.9460,0.5969,0.0120
2024-03-09 00:00:00,0.9591,0.6190,0.0138
2024-03-10 00:00:00,0.9627,0.6251,0.0038
2024-03-11 00:00:00,0.9660,0.6307,0.0034
2024-03-12 00:00:00,1.0108,0.7063,0.0464
2024-03-13 00:00:00,0.9976,0.6840,-0.0131
2024-03-14 00:00:00,1.0143,0.7122,0.0167
2024-03-15 00:00:00,0.9897,0.6707,-0.0243
2024-03-16 00:00:00,0.9587,0.6183,-0.0313
2024-03-17 00:00:00,0.9013,0.5214,-0.0599
2024-03-18 00:00:00,0.9402,0.5871,0.0432
2024-03-19 00:00:00,0.9218,0.5560,-0.0196
2024-03-20 00:00:00,0.8397,0.4175,-0.0891
2024-03-21 00:00:00,0.9237,0.5593,0.1000
2024-03-22 00:00:00,0.9005,0.5201,-0.0251
2024-03-23 00:00:00,0.8713,0.4708,-0.0324
2024-03-24 00:00:00,0.8724,0.4727,0.0013
2024-03-25 00:00:00,0.9127,0.5407,0.0462
2024-03-26 00:00:00,0.9486,0.6013,0.0393
2024-03-27 00:00:00,0.9492,0.6023,0.0006
2024-03-28 00:00:00,0.9367,0.5812,-0.0132
2024-03-29 00:00:00,0.9540,0.6104,0.0185
2024-03-30 00:00:00,0.9411,0.5886,-0.0135
2024-03-31 00:00:00,0.9384,0.5841,-0.0029
2024-04-01 00:00:00,0.9658,0.6303,0.0292
2024-04-02 00:00:00,0.9388,0.5847,-0.0280
2024-04-03 00:00:00,0.8814,0.4878,-0.0611
2024-04-04 00:00:00,0.8884,0.4997,0.0079
2024-04-05 00:00:00,0.9126,0.5405,0.0272
2024-04-06 00:00:00,0.9057,0.5289,-0.0076
2024-04-07 00:00:00,0.9184,0.5503,0.0140
