datetime,pps,cum_pnl_rate,daily_pnl_rate
2024-10-05 00:00:00,0.7735,0.0000,0.0000
2024-10-06 00:00:00,0.7733,-0.0003,-0.0003
2024-10-07 00:00:00,0.7824,0.0115,0.0118
2024-10-08 00:00:00,0.7755,0.0026,-0.0088
2024-10-09 00:00:00,0.7766,0.0040,0.0014
2024-10-10 00:00:00,0.7566,-0.0218,-0.0258
2024-10-11 00:00:00,0.7552,-0.0237,-0.0019
2024-10-12 00:00:00,0.7799,0.0083,0.0327
2024-10-13 00:00:00,0.7891,0.0202,0.0118
2024-10-14 00:00:00,0.7856,0.0156,-0.0044
2024-10-15 00:00:00,0.8289,0.0716,0.0551
2024-10-16 00:00:00,0.8358,0.0805,0.0083
2024-10-17 00:00:00,0.8408,0.0870,0.0060
2024-10-18 00:00:00,0.8386,0.0842,-0.0026
2024-10-19 00:00:00,0.8509,0.1001,0.0147
2024-10-20 00:00:00,0.8510,0.1002,0.0001
2024-10-21 00:00:00,0.8657,0.1192,0.0173
2024-10-22 00:00:00,0.8436,0.0906,-0.0255
2024-10-23 00:00:00,0.8402,0.0862,-0.0040
2024-10-24 00:00:00,0.8246,0.0661,-0.0186
2024-10-25 00:00:00,0.8393,0.0851,0.0178
2024-10-26 00:00:00,0.8173,0.0566,-0.0262
2024-10-27 00:00:00,0.8246,0.0661,0.0089
2024-10-28 00:00:00,0.8352,0.0798,0.0129
2024-10-29 00:00:00,0.8580,0.1092,0.0273
2024-10-30 00:00:00,0.8893,0.1497,0.0365
2024-10-31 00:00:00,0.8876,0.1475,-0.0019
2024-11-01 00:00:00,0.8566,0.1074,-0.0349
2024-11-02 00:00:00,0.8488,0.0973,-0.0091
2024-11-03 00:00:00,0.8462,0.0940,-0.0031
2024-11-04 00:00:00,0.8375,0.0827,-0.0103
2024-11-05 00:00:00,0.8238,0.0650,-0.0164
2024-11-06 00:00:00,0.8398,0.0857,0.0194
2024-11-07 00:00:00,0.9222,0.1922,0.0981
2024-11-08 00:00:00,0.9404,0.2158,0.0197
2024-11-09 00:00:00,0.9521,0.2309,0.0124
2024-11-10 00:00:00,0.9682,0.2517,0.0169
2024-11-11 00:00:00,1.0067,0.3015,0.0398
2024-11-12 00:00:00,1.0979,0.4194,0.0906
2024-11-13 00:00:00,1.0801,0.3964,-0.0162
2024-11-14 00:00:00,1.0969,0.4181,0.0156
2024-11-15 00:00:00,1.0576,0.3673,-0.0358
2024-11-16 00:00:00,1.0940,0.4144,0.0344
2024-11-17 00:00:00,1.0939,0.4142,-0.0001
2024-11-18 00:00:00,1.0823,0.3992,-0.0106
2024-11-19 00:00:00,1.0992,0.4211,0.0156
2024-11-20 00:00:00,1.1070,0.4312,0.0071
2024-11-21 00:00:00,1.1216,0.4500,0.0132
2024-11-22 00:00:00,1.1834,0.5299,0.0551
2024-11-23 00:00:00,1.1859,0.5332,0.0021
2024-11-24 00:00:00,1.1809,0.5267,-0.0042
2024-11-25 00:00:00,1.1804,0.5261,-0.0004
2024-11-26 00:00:00,1.1404,0.4743,-0.0339
2024-11-27 00:00:00,1.1234,0.4524,-0.0149
2024-11-28 00:00:00,1.1877,0.5355,0.0572
2024-11-29 00:00:00,1.1792,0.5245,-0.0072
2024-11-30 00:00:00,1.1966,0.5470,0.0148
2024-12-01 00:00:00,1.1971,0.5476,0.0004
2024-12-02 00:00:00,1.2045,0.5572,0.0062
2024-12-03 00:00:00,1.1865,0.5339,-0.0149
2024-12-04 00:00:00,1.1843,0.5311,-0.0019
2024-12-05 00:00:00,1.2287,0.5885,0.0375
2024-12-06 00:00:00,1.2091,0.5632,-0.0160
2024-12-07 00:00:00,1.2534,0.6204,0.0366
2024-12-08 00:00:00,1.2540,0.6212,0.0005
2024-12-09 00:00:00,1.2664,0.6372,0.0099
2024-12-10 00:00:00,1.2056,0.5586,-0.0480
2024-12-11 00:00:00,1.1921,0.5412,-0.0112
2024-12-12 00:00:00,1.2512,0.6176,0.0496
2024-12-13 00:00:00,1.2454,0.6101,-0.0046
2024-12-14 00:00:00,1.2604,0.6295,0.0120
2024-12-15 00:00:00,1.2571,0.6252,-0.0026
2024-12-16 00:00:00,1.2927,0.6712,0.0283
2024-12-17 00:00:00,1.3091,0.6924,0.0127
2024-12-18 00:00:00,1.3014,0.6825,-0.0059
2024-12-19 00:00:00,1.2240,0.5824,-0.0595
2024-12-20 00:00:00,1.1810,0.5268,-0.0351
2024-12-21 00:00:00,1.1890,0.5372,0.0068
2024-12-22 00:00:00,1.1727,0.5161,-0.0137
2024-12-23 00:00:00,1.1485,0.4848,-0.0206
2024-12-24 00:00:00,1.1581,0.4972,0.0084
2024-12-25 00:00:00,1.1986,0.5496,0.0350
2024-12-26 00:00:00,1.2062,0.5594,0.0063
2024-12-27 00:00:00,1.1586,0.4979,-0.0395
2024-12-28 00:00:00,1.1449,0.4802,-0.0118
2024-12-29 00:00:00,1.1604,0.5002,0.0135
2024-12-30 00:00:00,1.1422,0.4767,-0.0157
2024-12-31 00:00:00,1.1342,0.4663,-0.0070
2025-01-01 00:00:00,1.1390,0.4725,0.0042
2025-01-02 00:00:00,1.1501,0.4869,0.0097
