datetime,type,price,amount
2021-07-01 00:00:00,deposit,1.0000,+6740
2022-08-31 00:00:00,withdraw,0.7600,-6740
2021-07-01 00:00:00,deposit,1.0000,+6740
2022-08-31 00:00:00,withdraw,0.7600,-6740
2021-07-01 00:00:00,deposit,1.0000,+6740
2022-08-31 00:00:00,withdraw,0.7600,-6740
2021-02-24 00:00:00,deposit,1.6434,+6084.9
2021-07-01 00:00:00,withdraw,1.1077,-6084.9
2021-07-01 00:00:00,deposit,1.0000,+6740
2022-08-31 00:00:00,withdraw,0.7600,-6740
