datetime,type,price,amount
2021-07-01 00:00:00,deposit,1.0000,+37154
2022-08-31 00:00:00,deposit,0.7600,+12309
2021-01-01 00:00:00,deposit,1.0000,+34890.9
2021-01-04 00:00:00,withdraw,1.1418,-1348.74
2021-07-01 00:00:00,withdraw,1.1077,-33542.16
2021-01-01 00:00:00,deposit,1.0000,+34890.9
2021-01-04 00:00:00,withdraw,1.1418,-1348.74
2021-07-01 00:00:00,withdraw,1.1077,-33542.16
