timestamp,pps,cum_pnl_rate,daily_pnl_rate
1609459200,1.0000,0.0000,0.0000
1609545600,1.0150,0.0150,0.0150
1609632000,1.1127,0.1127,0.0963
1609718400,1.1439,0.1439,0.0280
1609804800,1.1056,0.1056,-0.0335
1609891200,1.1843,0.1843,0.0712
1609977600,1.2924,0.2924,0.0913
1610064000,1.3979,0.3979,0.0816
1610150400,1.4228,0.4228,0.0178
1610236800,1.4155,0.4155,-0.0051
1610323200,1.3646,0.3646,-0.0360
1610409600,1.2911,0.2911,-0.0539
1610496000,1.2537,0.2537,-0.0290
1610582400,1.3489,0.3489,0.0759
1610668800,1.4005,0.4005,0.0383
1610755200,1.3266,0.3266,-0.0528
1610841600,1.3029,0.3029,-0.0179
1610928000,1.3001,0.3001,-0.0021
1611014400,1.3160,0.3160,0.0122
1611100800,1.3013,0.3013,-0.0112
1611187200,1.2943,0.2943,-0.0054
1611273600,1.2191,0.2191,-0.0581
1611360000,1.2520,0.2520,0.0270
1611446400,1.2396,0.2396,-0.0099
1611532800,1.2422,0.2422,0.0021
1611619200,1.2415,0.2415,-0.0006
1611705600,1.2444,0.2444,0.0023
1611792000,1.2260,0.2260,-0.0148
1611878400,1.2491,0.2491,0.0188
1611964800,1.2541,0.2541,0.0040
1612051200,1.2545,0.2545,0.0003
1612137600,1.2496,0.2496,-0.0039
1612224000,1.2508,0.2508,0.0010
1612310400,1.2542,0.2542,0.0027
1612396800,1.2559,0.2559,0.0014
1612483200,1.2565,0.2565,0.0005
1612569600,1.2528,0.2528,-0.0029
1612656000,1.2838,0.2838,0.0247
1612742400,1.2699,0.2699,-0.0108
1612828800,1.5259,0.5259,0.2016
1612915200,1.5276,0.5276,0.0011
1613001600,1.4675,0.4675,-0.0393
1613088000,1.5855,0.5855,0.0804
1613174400,1.5609,0.5609,-0.0155
1613260800,1.5510,0.5510,-0.0063
1613347200,1.6076,0.6076,0.0365
1613433600,1.5783,0.5783,-0.0182
1613520000,1.6278,0.6278,0.0314
1613606400,1.7595,0.7595,0.0809
1613692800,1.7467,0.7467,-0.0073
1613779200,1.8432,0.8432,0.0552
1613865600,1.8431,0.8431,-0.0001
1613952000,1.8821,0.8821,0.0212
